,id,groupId,push,pull,cost
162,1385,79,284713,230334,515047
116,1088,79,291756,224947,516703
113,1072,79,292275,226931,519206
119,1094,79,290254,231389,521643
60,877,79,296659,227267,523926
109,1066,79,294243,230802,525045
105,1058,79,298847,226666,525513
249,1738,12,383778,141926,525704
52,838,79,302268,225134,527402
50,817,44,307156,224712,531868
155,1371,12,391519,141978,533497
326,2025,12,396965,142295,539260
177,1442,12,406989,141947,548936
181,1475,12,407245,142215,549460
126,1137,79,323524,226164,549688
58,871,79,329314,224577,553891
199,1539,32,494490,141363,635853
239,1680,109,207431,442041,649472
217,1596,86,514227,142116,656343
276,1941,12,519198,142211,661409
151,1365,70,500353,164482,664835
209,1563,109,210059,460543,670602
40,585,10,350588,320597,671185
191,1510,109,207298,468240,675538
194,1517,109,204443,474888,679331
48,788,32,542211,141445,683656
36,451,10,353762,333143,686905
38,474,10,349001,340063,689064
41,587,10,349847,339613,689460
37,471,10,353091,336937,690028
434,2266,75,326356,364679,691035
200,1542,108,207240,484884,692124
47,785,32,550313,142184,692497
18,361,35,212489,481975,694464
51,836,32,554844,141967,696811
23,382,35,212430,487032,699462
43,738,32,561881,141659,703540
46,775,32,564083,141639,705722
81,985,35,566836,142910,709746
99,1036,92,579339,141747,721086
94,1028,92,581224,141513,722737
120,1100,92,592589,141405,733994
68,897,70,358166,389951,748117
540,2545,75,358799,398902,757701
49,790,70,367162,393184,760346
227,1628,108,209780,553494,763274
42,598,70,406208,402053,808261
341,2058,75,522247,318454,840701
364,2130,75,518208,373077,891285
223,1617,109,348773,547745,896518
337,2048,75,546026,375839,921865
